"slug","english_title","chinese_name","review_state","pack_count","packs","modrinth_url"
"cloth-config","Cloth Config API","布料配置 (Cloth Config)","curated","13","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/cloth-config"
"ferrite-core","FerriteCore","铁氧体核心 (FerriteCore)","curated","13","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;distant-horizons-iris-shaders;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/ferrite-core"
"entityculling","Entity Culling","实体剔除 (Entity Culling)","extended","12","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;barces-vanilla-experience;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/entityculling"
"entitytexturefeatures","[ETF] Entity Texture Features","实体纹理特性 (ETF)","extended","11","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/entitytexturefeatures"
"modmenu","Mod Menu","模组菜单 (Mod Menu)","extended","11","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;distant-horizons-iris-shaders;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;barces-vanilla-experience;nonagon;pokemon-elysium","https://modrinth.com/mod/modmenu"
"not-enough-animations","Not Enough Animations","更多动作 (Not Enough Animations)","extended","11","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/not-enough-animations"
"xaeros-minimap","Xaero's Minimap","Xaero 的小地图","curated","11","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;heropack-verse-fiskheroes-server;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/xaeros-minimap"
"xaeros-world-map","Xaero's World Map","Xaero 的世界地图","curated","11","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/xaeros-world-map"
"yacl","YetAnotherConfigLib (YACL)","另一个配置库 (YACL)","extended","11","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;nonagon;pokemon-elysium","https://modrinth.com/mod/yacl"
"architectury-api","Architectury API","Architectury API","curated","10","cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/architectury-api"
